species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
585,,,Last et al 2016,,,,,
589,,,Last et al 2016,,,,,
590,,,Last et al 2016,,,,,
594,,,Last et al 2016,,,,,
595,,,Last et al 2016,,,,,
596,,,Last et al 2016,,,,,
561,,,Bloch & Schneider 1801 ,,,,,
580,,,Norman 1930 ,,,,,
581,,,Norman 1926 ,,,,,
584,,,Norman 1922 ,,,,,
586,,,Richardson 1846 ,,,,,
587,,,Norman 1931 ,,,,,
588,,,"Last, White & Fahmi 2006 ",,,,,
591,,,Norman 1926 ,,,,,
592,,,"Last, Compagno & Nakaya 2004",,,,,
598,,,Compagno & Randall 1987 ,,,,,
599,,,Linnaeus 1758 ,,,,,
600,,,Last 2004 ,,,,,
602,,,Last et al 2016,,,,,
603,,,Last et al 2016,,,,,
604,,,Last et al 2016,,,,,
605,,,Last et al 2016,,,,,
606,,,Last et al 2016,,,,,
607,,,Last et al 2016,,,,,
614,,,Müller & Henle 1841 ,,,,,
615,,,Shaw 1795 ,,,,,
616,,,"Rincón, Stehmann & Vooren 2001 ",,,,,
617,,,Bean & Weed 1909 ,,,,,
618,,,Alcock 1898 ,,,,,
619,,,"Carvalho, Compagno & Ebert 2003 ",,,,,
620,,,Fechhelm & McEachran 1984 ,,,,,
621,,,Mart’n Salazar 1957 ,,,,,
622,,,Jordan & Gilbert 1890 ,,,,,
623,,,Last et al 2016,,,,,
624,,,"Menni, Rincón & Garc’a 2008 ",,,,,
625,,,Heckel 1846 ,,,,,
626,,,Carvalho & Randall 2003 ,,,,,
627,,,Griffith & Smith 1834 ,,,,,
628,,,Weigmann 2016,,,,,
629,,,Olfers 1831 ,,,,,
630,,,Bessednov 1966 ,,,,,
631,,,Last et al 2016,,,,,
632,,,Jordan & Starks 1895 ,,,,,
633,,,Weigmann 2016,,,,,
634,,,"Carvalho, Séret & Compagno 2002 ",,,,,
635,,,Last et al 2016,,,,,
636,,,Carvalho 2001 ,,,,,
637,,,Richardson 1846 ,,,,,
638,,,Shaw 1804 ,,,,,
639,,,Last et al 2016,,,,,
640,,,Weigmann 2016,,,,,
641,,,"Carvalho, Compagno & Mee 2002 ",,,,,
642,,,Last et al 2016,,,,,
643,,,Bessednov 1966 ,,,,,
644,,,Lloris & Rucabado 1991 ,,,,,
608,,,Last et al 2016,,,,,
609,,,Last et al 2016,,,,,
610,,,Last et al 2016,,,,,
611,,,Last et al 2016,,,,,
613,,,Last et al 2016,,,,,
645,,,Last et al 2016,,,,,
646,,,Bloch & Schneider 1801 ,,,,,
647,,,Last et al 2016,,,,,
648,,,Last et al 2016,,,,,
649,,,Last et al 2016,,,,,
650,,,Compagno & Heemstra 2007 ,,,,,
651,,,Baranes & Randall 1989 ,,,,,
652,,,Regan 1921 ,,,,,
653,,,Lloyd 1907 ,,,,,
654,,,Last et al 2016,,,,,
655,,,Gmelin 1789 ,,,,,
