from,to,weight
A5000491743,A5014389821,1
A5000491743,A5014796694,1
A5000491743,A5015200301,1
A5000491743,A5015353218,1
A5000491743,A5015536681,1
A5000491743,A5015558286,1
A5000491743,A5016422700,1
A5000491743,A5016661983,15
A5000491743,A5016685797,1
A5000491743,A5016936060,1
A5000491743,A5017740629,1
A5000491743,A5017814792,1
A5000491743,A5018522336,1
A5000491743,A5018527707,1
A5000491743,A5018771032,1
A5000491743,A5018856658,1
A5000491743,A5018857271,2
A5000491743,A5018859861,9
A5000491743,A5019677255,6
A5000491743,A5020766016,4
A5000491743,A5022806122,1
A5000491743,A5023751725,1
A5000491743,A5023886185,1
A5000491743,A5024477932,1
A5000491743,A5024868059,1
A5000491743,A5025187446,1
A5000491743,A5025563690,1
A5000491743,A5025808128,2
A5000491743,A5025880572,2
A5000491743,A5026137241,1
A5000491743,A5026655156,2
A5000491743,A5027052665,2
A5000491743,A5028316837,1
A5000491743,A5028489146,2
A5000491743,A5028587700,1
A5000491743,A5029596924,6
A5000491743,A5029724056,1
A5000491743,A5029831812,1
A5000491743,A5029873576,1
A5000491743,A5030049234,1
A5000491743,A5030210254,1
A5000491743,A5030584469,2
A5000491743,A5031110017,1
A5000491743,A5031388639,2
A5000491743,A5031443407,1
A5000491743,A5032997738,1
A5000491743,A5034016556,1
A5000491743,A5034115460,1
A5000491743,A5034197652,1
A5000491743,A5034438889,1
A5000491743,A5034741476,1
A5000491743,A5035550028,1
A5000491743,A5035750621,1
A5000491743,A5035810829,2
A5000491743,A5036209141,2
A5000491743,A5036877484,1
A5000491743,A5037886219,3
A5000491743,A5038873010,1
A5000491743,A5039080941,1
A5000491743,A5039207374,1
A5000491743,A5039942631,3
A5000491743,A5041490154,1
A5000491743,A5041789762,2
A5000491743,A5042336328,1
A5000491743,A5043540971,1
A5000491743,A5044114228,1
A5000491743,A5044353857,1
A5000491743,A5044563276,7
A5000491743,A5045608737,2
A5000491743,A5045897972,1
A5000491743,A5046325931,1
A5000491743,A5046743964,1
A5000491743,A5046953441,1
A5000491743,A5047066098,2
A5000491743,A5047187906,1
A5000491743,A5047465035,1
A5000491743,A5047975781,1
A5000491743,A5048592892,1
A5000491743,A5048861783,1
A5000491743,A5049153998,2
A5000491743,A5049569296,1
A5000491743,A5049735088,1
A5000491743,A5050624434,1
A5000491743,A5051333159,1
A5000491743,A5051923615,3
A5000491743,A5053170814,6
A5000491743,A5053379413,2
A5000491743,A5053594384,1
A5000491743,A5053611400,1
A5000491743,A5053634231,1
A5000491743,A5053731412,1
A5000491743,A5053962612,2
A5000491743,A5054601264,1
A5000491743,A5055556974,1
A5000491743,A5056603621,2
A5000491743,A5057126604,1
A5000491743,A5057388257,1
A5000491743,A5059321270,1
A5000491743,A5059484251,1
A5000491743,A5059537258,1
A5000491743,A5059551776,6
A5000491743,A5059576222,1
A5000491743,A5059851466,1
A5000491743,A5059984907,1
A5000491743,A5060652236,1
A5000491743,A5060958973,2
A5000491743,A5061982227,1
A5000491743,A5062667343,1
A5000491743,A5062775440,2
A5000491743,A5062897472,1
A5000491743,A5063524729,1
A5000491743,A5063743061,2
A5000491743,A5064564535,1
A5000491743,A5064615155,1
A5000491743,A5065288345,1
A5000491743,A5066146362,2
A5000491743,A5066360531,1
A5000491743,A5067009487,1
A5000491743,A5067131341,1
A5000491743,A5067846686,2
A5000491743,A5068183663,1
A5000491743,A5068334963,1
A5000491743,A5068910144,1
A5000491743,A5069148631,2
A5000491743,A5070038337,1
A5000491743,A5070191034,5
A5000491743,A5070586795,7
A5000491743,A5070982607,1
A5000491743,A5071649909,2
A5000491743,A5071652330,3
A5000491743,A5072685750,1
A5000491743,A5072875451,2
A5000491743,A5072989454,1
A5000491743,A5073123254,1
A5000491743,A5073592308,2
A5000491743,A5073845463,2
A5000491743,A5074413866,2
A5000491743,A5077388594,2
A5000491743,A5077684841,1
A5000491743,A5078322786,1
A5000491743,A5078993478,1
A5000491743,A5079708927,1
A5000491743,A5080676459,1
A5000491743,A5080921997,1
A5000491743,A5081035197,1
A5000491743,A5081227066,1
A5000491743,A5081302464,1
A5000491743,A5081408180,2
A5000491743,A5082014181,1
A5000491743,A5082317939,2
A5000491743,A5082618108,1
A5000491743,A5082890259,3
A5000491743,A5083266790,2
A5000491743,A5083624621,2
A5000491743,A5085674774,2
A5000491743,A5085955618,1
A5000491743,A5086497539,1
A5000491743,A5087370269,1
A5000491743,A5089067181,2
A5000491743,A5090035763,2
A5000491743,A5090428075,2
A5000491743,A5090805634,1
A5000491743,A5090970334,1
A5000491743,A5091287571,1
A5000491743,A5091351942,1
A5000491743,A5102241380,1
A5000491743,A5102773610,2
A5000491743,A5103142337,1
A5000491743,A5103233261,6
A5000491743,A5103874950,1
A5000491743,A5103985941,1
A5000491743,A5103987246,1
A5000491743,A5104360423,1
A5000491743,A5104471764,1
A5000491743,A5106660198,1
A5000491743,A5106660366,1
A5000491743,A5108317458,1
A5000491743,A5108384913,1
A5000491743,A5109034177,2
A5000491743,A5110283569,1
A5000491743,A5110600082,1
A5000491743,A5110630947,1
A5000491743,A5110779309,1
A5000491743,A5110784563,1
A5000491743,A5110784564,1
A5000491743,A5111181030,1
A5000491743,A5111404410,3
A5000491743,A5111577947,1
A5000491743,A5112460277,2
A5000491743,A5113088780,2
A5000491743,A5113742321,1
A5000491743,A5113875047,1
A5000492239,A5001067683,1
A5000492239,A5002558841,1
A5000492239,A5002748920,1
A5000492239,A5007974725,1
A5000492239,A5010743662,1
A5000492239,A5012091107,1
A5000492239,A5018818429,1
A5000492239,A5019677255,1
A5000492239,A5019748725,1
A5000492239,A5020265598,1
A5000492239,A5021138590,1
A5000492239,A5028025962,1
A5000492239,A5029873576,1
A5000492239,A5030071551,1
A5000492239,A5031194545,1
A5000492239,A5032595673,1
A5000492239,A5032869500,1
A5000492239,A5033993430,1
A5000492239,A5034793148,1
A5000492239,A5034869258,1
A5000492239,A5034910630,1
